header,is_outcome,is_group_attribute,type,ordering
RiskPerformance,TRUE,FALSE,numeric,NA
GroupTrades,FALSE,TRUE,categorical,NA
ExternalRiskEstimate_X_59_50__63_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_63_50__65_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_65_50__67_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_67_50__70_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_70_50__73_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_73_50__75_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_75_50__78_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_78_50__80_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_80_50__84_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_84_50__87_50_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_X_87_50__inf_,FALSE,FALSE,numeric,NA
ExternalRiskEstimate_Special,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_119_50__134_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_134_50__147_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_147_50__169_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_169_50__184_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_184_50__216_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_216_50__263_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_263_50__383_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_383_50__inf_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_62_50__91_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_X_91_50__119_50_,FALSE,FALSE,numeric,NA
MSinceOldestTradeOpen_Special,FALSE,FALSE,numeric,NA
MSinceMostRecentTradeOpen_X_1_50__9_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentTradeOpen_X_19_50__inf_,FALSE,FALSE,numeric,NA
MSinceMostRecentTradeOpen_X_9_50__19_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentTradeOpen_Special,FALSE,FALSE,numeric,NA
AverageMInFile_X_116_50__inf_,FALSE,FALSE,numeric,NA
AverageMInFile_X_30_50__41_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_41_50__48_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_48_50__54_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_54_50__64_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_64_50__69_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_69_50__74_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_74_50__81_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_81_50__97_50_,FALSE,FALSE,numeric,NA
AverageMInFile_X_97_50__116_50_,FALSE,FALSE,numeric,NA
AverageMInFile_Special,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_11_50__13_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_13_50__17_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_17_50__21_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_21_50__24_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_24_50__31_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_31_50__38_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_38_50__inf_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_5_50__8_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_X_8_50__11_50_,FALSE,FALSE,numeric,NA
NumSatisfactoryTrades_Special,FALSE,FALSE,numeric,NA
NumTrades60Ever2DerogPubRec_X_0_50__1_50_,FALSE,FALSE,numeric,NA
NumTrades60Ever2DerogPubRec_X_1_50__2_50_,FALSE,FALSE,numeric,NA
NumTrades60Ever2DerogPubRec_X_2_50__inf_,FALSE,FALSE,numeric,NA
NumTrades60Ever2DerogPubRec_Special,FALSE,FALSE,numeric,NA
NumTrades90Ever2DerogPubRec_X_0_50__1_50_,FALSE,FALSE,numeric,NA
NumTrades90Ever2DerogPubRec_X_1_50__inf_,FALSE,FALSE,numeric,NA
NumTrades90Ever2DerogPubRec_Special,FALSE,FALSE,numeric,NA
PercentTradesNeverDelq_X_69_50__83_50_,FALSE,FALSE,numeric,NA
PercentTradesNeverDelq_X_83_50__88_50_,FALSE,FALSE,numeric,NA
PercentTradesNeverDelq_X_88_50__91_50_,FALSE,FALSE,numeric,NA
PercentTradesNeverDelq_X_91_50__95_50_,FALSE,FALSE,numeric,NA
PercentTradesNeverDelq_X_95_50__97_50_,FALSE,FALSE,numeric,NA
PercentTradesNeverDelq_X_97_50__inf_,FALSE,FALSE,numeric,NA
PercentTradesNeverDelq_Special,FALSE,FALSE,numeric,NA
MSinceMostRecentDelq_X_17_50__31_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentDelq_X_3_50__8_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentDelq_X_31_50__46_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentDelq_X_46_50__inf_,FALSE,FALSE,numeric,NA
MSinceMostRecentDelq_X_8_50__17_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentDelq_Special,FALSE,FALSE,numeric,NA
MaxDelq2PublicRecLast12M_X_5_50__6_50_,FALSE,FALSE,numeric,NA
MaxDelq2PublicRecLast12M_X_6_50__inf_,FALSE,FALSE,numeric,NA
MaxDelq2PublicRecLast12M_Special,FALSE,FALSE,numeric,NA
MaxDelqEver_X_2_50__5_50_,FALSE,FALSE,numeric,NA
MaxDelqEver_X_5_50__6_50_,FALSE,FALSE,numeric,NA
MaxDelqEver_X_6_50__inf_,FALSE,FALSE,numeric,NA
MaxDelqEver_Special,FALSE,FALSE,numeric,NA
NumTradesOpeninLast12M_X_0_50__1_50_,FALSE,FALSE,numeric,NA
NumTradesOpeninLast12M_X_1_50__2_50_,FALSE,FALSE,numeric,NA
NumTradesOpeninLast12M_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumTradesOpeninLast12M_X_3_50__4_50_,FALSE,FALSE,numeric,NA
NumTradesOpeninLast12M_X_4_50__inf_,FALSE,FALSE,numeric,NA
NumTradesOpeninLast12M_Special,FALSE,FALSE,numeric,NA
PercentInstallTrades_X_24_50__28_50_,FALSE,FALSE,numeric,NA
PercentInstallTrades_X_28_50__35_50_,FALSE,FALSE,numeric,NA
PercentInstallTrades_X_35_50__42_50_,FALSE,FALSE,numeric,NA
PercentInstallTrades_X_42_50__46_50_,FALSE,FALSE,numeric,NA
PercentInstallTrades_X_46_50__52_50_,FALSE,FALSE,numeric,NA
PercentInstallTrades_X_52_50__59_50_,FALSE,FALSE,numeric,NA
PercentInstallTrades_X_59_50__inf_,FALSE,FALSE,numeric,NA
PercentInstallTrades_Special,FALSE,FALSE,numeric,NA
MSinceMostRecentInqexcl7days_X_0_50__1_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentInqexcl7days_X_1_50__10_50_,FALSE,FALSE,numeric,NA
MSinceMostRecentInqexcl7days_X_10_50__inf_,FALSE,FALSE,numeric,NA
MSinceMostRecentInqexcl7days_Special,FALSE,FALSE,numeric,NA
NumInqLast6M_X_0_50__1_50_,FALSE,FALSE,numeric,NA
NumInqLast6M_X_1_50__3_50_,FALSE,FALSE,numeric,NA
NumInqLast6M_X_3_50__inf_,FALSE,FALSE,numeric,NA
NumInqLast6M_Special,FALSE,FALSE,numeric,NA
NumInqLast6Mexcl7days_X_0_50__1_50_,FALSE,FALSE,numeric,NA
NumInqLast6Mexcl7days_X_1_50__2_50_,FALSE,FALSE,numeric,NA
NumInqLast6Mexcl7days_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumInqLast6Mexcl7days_X_3_50__inf_,FALSE,FALSE,numeric,NA
NumInqLast6Mexcl7days_Special,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_14_50__23_50_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_23_50__31_50_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_31_50__37_50_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_37_50__47_50_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_47_50__59_50_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_59_50__78_50_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_6_50__14_50_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_X_78_50__inf_,FALSE,FALSE,numeric,NA
NetFractionRevolvingBurden_Special,FALSE,FALSE,numeric,NA
NetFractionInstallBurden_X_33_50__64_50_,FALSE,FALSE,numeric,NA
NetFractionInstallBurden_X_64_50__71_50_,FALSE,FALSE,numeric,NA
NetFractionInstallBurden_X_71_50__85_50_,FALSE,FALSE,numeric,NA
NetFractionInstallBurden_X_85_50__inf_,FALSE,FALSE,numeric,NA
NetFractionInstallBurden_Special,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_3_50__4_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_4_50__5_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_5_50__7_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_7_50__9_50_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_X_9_50__inf_,FALSE,FALSE,numeric,NA
NumRevolvingTradesWBalance_Special,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_1_50__2_50_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_3_50__4_50_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_X_4_50__inf_,FALSE,FALSE,numeric,NA
NumInstallTradesWBalance_Special,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_0_50__1_50_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_1_50__2_50_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_2_50__3_50_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_X_3_50__inf_,FALSE,FALSE,numeric,NA
NumBank2NatlTradesWHighUtilization_Special,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_32_50__48_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_48_50__60_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_60_50__66_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_66_50__68_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_68_50__73_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_73_50__75_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_75_50__80_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_80_50__87_50_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_87_50__98_00_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_X_98_00__inf_,FALSE,FALSE,numeric,NA
PercentTradesWBalance_Special,FALSE,FALSE,numeric,NA
